institution-id,institution-name,institution-url
61184,East Stroudsburg University ,http://www.esu.edu
61489,Grove City College,http://www.gcc.edu
61821,Ivy Tech Community College,http://www.ivytech.edu/indianapolis
62384,Morningside College,http://www.morningside.edu
60252,San Jose State University,http://www.sjsu.edu
63573,University of Maryland Eastern Shore,http://www.umes.edu
61510,Harding University,http://www.harding.edu
62060,Lewis University,http://www.lewisu.edu
60098,Barry University,http://www.barry.edu
60161,Georgia Institute of Technology,http://www.gatech.edu
61304,Fairfield University,http://www.fairfield.edu
63576,University of Maryland,http://www.umd.edu
60370,Alaska Pacific University,http://www.alaskapacific.edu
60998,Concordia University-Ann Arbor,http://www.cuaa.edu
62346,Missouri University of Science and Technology,http://www.mst.edu
63279,Sullivan University,http://www.sullivan.edu
61871,Johns Hopkins University - Carey School of Business,http://carey.jhu.edu/
62163,Malone University,http://www.malone.edu
61145,Dickinson College,http://www.dickinson.edu
60107,Ball State University,http://www.bsu.edu
62902,Robert Morris University,http://www.rmu.edu
60933,Saint Elizabeth University,http://www.cse.edu
61613,Houston Baptist University,http://www.hbu.edu
62368,Montgomery College,http://www.montgomerycollege.edu
62803,Presentation College,http://www.presentation.edu
63558,University of Idaho,http://www.uidaho.edu
62569,Northland Community and Technical College,http://www.northlandcollege.edu
63302,Susquehanna University,http://www.susqu.edu/
63519,University of Alaska Fairbanks,http://www.uaf.edu
59966,Saint Joseph's College-New York,http://www.sjcny.edu
60296,University of Nevada-Las Vegas,http://www.go.unlv.edu
60923,College of Charleston,http://www.cofc.edu
61332,Florida College,http://www.floridacollege.edu
60616,Bluffton University,http://www.bluffton.edu
62544,Northcentral Technical College,http://www.ntc.edu
63572,University of Mary Washington,http://www.umw.edu
63288,SUNY Oneonta,http://suny.oneonta.edu
59839,Albertus Magnus College,http://www.albertus.edu
64077,The New School,http://www.newschool.edu/
59858,Bryn Athyn College of the New Church,http://www.brynathyn.edu
59904,Illinois Institute of Technology,https://web.iit.edu/
62158,Madison Area Technical College,http://madisoncollege.edu/
62480,New England Institute of Technology,http://www.neit.edu
62894,Ripon College,http://www.ripon.edu
60706,Buena Vista University,http://www.bvu.edu
61334,Florida Gulf Coast University,http://www.fgcu.edu
63736,University of the Ozarks,http://www.ozarks.edu
61566,Heritage University,http://www.heritage.edu
62517,Norfolk State University,http://www.nsu.edu
60290,University of Montana,http://www.umt.edu
62343,Missouri Southern State University,http://www.mssu.edu
61013,Cornell College,http://www.cornellcollege.edu
62317,Minneapolis College,http://www.minneapolis.edu
60942,College of the Mainland,http://www.com.edu
63552,University of Hawaii at Manoa,http://www.manoa.hawaii.edu
60526,Bard College at Simon's Rock,http://www.simons-rock.edu
62355,Molloy College,http://www.molloy.edu
63491,Union County College,http://www.ucc.edu
62800,Pratt Institute-Main,http://www.pratt.edu
62719,Paul Quinn College,http://www.pqc.edu
63559,University of Illinois at Springfield,http://www.uis.edu
60872,Claflin University,http://www.claflin.edu
62194,Maryland Institute College of Art,http://www.mica.edu
62380,Morehouse College,http://www.morehouse.edu
60392,Alvernia University,http://www.alvernia.edu
60930,Mount St. Joseph University ,http://www.msj.edu
62834,Radford University,http://www.radford.edu
62421,Naropa University,http://www.naropa.edu
61952,Kent State University at Stark,http://www.stark.kent.edu
63743,University of Vermont,http://www.uvm.edu
63801,Vermont Technical College,http://www.vtc.edu
62151,Lyon College,http://www.lyon.edu
60804,Central Michigan University,http://www.cmich.edu
60178,Irvine Valley College,http://www.ivc.edu
62107,Lock Haven University,http://www.lhup.edu
62919,Roosevelt University,http://www.roosevelt.edu
60289,University of Missouri-St Louis,http://www.umsl.edu
61323,Fitchburg State University,http://www.fitchburgstate.edu
62545,North Central University,https://www.northcentral.edu/
63606,University of North Carolina at Asheville,http://www.unca.edu
63977,Wingate University,http://www.wingate.edu
62008,Lancaster Bible College,http://www.lbc.edu
63168,Southern West Virginia Community and Technical College,http://www.southernwv.edu
62312,Milwaukee Institute of Art & Design,http://www.miad.edu
61420,George Washington University,http://www.gwu.edu
62129,Louisiana State University,http://www.lsu.edu
63726,University of South Carolina-Upstate,http://www.uscupstate.edu
60571,Berry College,http://www.berry.edu
60375,Albright College,http://www.albright.edu
60214,University of the Pacific,http://www.pacific.edu
63873,Waynesburg University,http://www.waynesburg.edu
60150,Earlham College,http://www.earlham.edu
60951,William & Mary Main Campus,http://www.wm.edu
61980,La Sierra University,http://www.lasierra.edu
62555,Northeastern Junior College,http://www.njc.edu
60580,Bethel College,http://www.bethelks.edu
62536,North Greenville University,http://www.ngu.edu
62186,Marshall University,http://www.marshall.edu
62477,New College of Florida,http://www.ncf.edu
60614,Bluefield State College,http://www.bluefieldstate.edu
63718,University of Sioux Falls,http://www.usiouxfalls.edu
60995,Concord University,http://www.concord.edu
61594,Hodges University,http://www.hodges.edu
63075,Siena College,http://www.siena.edu
63974,Wilson College,http://www.wilson.edu
62900,Roanoke College,http://www.roanoke.edu
62974,Salem College,http://www.salem.edu
