institution-id,institution-name,location-id
61439,Georgian Court University,143602
59933,Niagara College,80082
59933,Niagara College,80084
60305,The University of Texas at Austin,142932
62378,Moravian University,80873
60743,Canisius College,93765
62673,Orleans Technical College,80436
63415,The University of Texas at Dallas,80547
59861,Columbia College (MO),79898
60960,Colorado State University-Fort Collins,80535
62656,Oklahoma State University-Main,142688
62656,Oklahoma State University-Main,142689
63040,SCAD,143465
63040,SCAD,80558
63040,SCAD,80559
63040,SCAD,80557
63226,St. Francis College,80541
63712,University of Rochester,83980
62521,North Carolina A & T State University,118339
62521,North Carolina A & T State University,125479
61325,Flagler College-St Augustine,86076
61048,Lehman College - CUNY ,86966
59917,Loyola University Maryland,80044
59925,Monmouth University,80064
61976,Kutztown University of PA,140598
63773,Utica College,91672
62647,Ohio Wesleyan University,142371
63276,Sul Ross State University,80716
63306,Sweet Briar College,127083
63423,The University of West Florida,82557
63518,University of Alaska Anchorage,140869
63518,University of Alaska Anchorage,143298
63518,University of Alaska Anchorage,143666
63518,University of Alaska Anchorage,143512
63518,University of Alaska Anchorage,143561
63518,University of Alaska Anchorage,143497
63518,University of Alaska Anchorage,143527
63518,University of Alaska Anchorage,143495
63518,University of Alaska Anchorage,143515
63518,University of Alaska Anchorage,143513
63518,University of Alaska Anchorage,143566
63518,University of Alaska Anchorage,143498
63518,University of Alaska Anchorage,143558
63518,University of Alaska Anchorage,143496
63518,University of Alaska Anchorage,143516
63518,University of Alaska Anchorage,143493
63518,University of Alaska Anchorage,143514
63556,University of Houston-Downtown,139609
63721,University of South Carolina-Beaufort,80644
63915,Western New England University,80633
60829,Chadron State College,142313
60916,College for Creative Studies,142908
61041,CUNY Bronx Community College,138576
61153,Doane University,139277
61191,Eastern Illinois University,80438
61392,Freed-Hardeman University,117807
61397,Frostburg State University,139650
61463,Gordon College,80583
62179,Marian University (IN),139485
62288,Midwestern State University,91999
60174,Iowa State University,95120
60174,Iowa State University,95122
60227,Pacific Union College,139855
60242,Santa Clara University,80146
60242,Santa Clara University,80464
60272,Texas Woman's University,80206
60635,Bridgewater College,80358
60719,California Baptist University,122421
59885,Fisher College,79964
62309,Millikin University,90518
62989,San Francisco Art Institute,91632
60805,Central Ohio Technical College,124012
61990,Lake Forest College,139108
59869,Concordia University-Wisconsin,79919
62746,Pennsylvania State University - Schuylkill,116809
62746,Pennsylvania State University - Schuylkill,142134
63859,Washington and Lee University,142501
63859,Washington and Lee University,142524
60144,DePauw University,79939
60147,Drake University,141268
61680,Iowa Central Community College,138350
63468,Trinity University,84978
63903,West Virginia University Institute of Technology,141406
63955,Widener University - Main Campus,80294
60148,Duke University,133627
60148,Duke University,143054
60148,Duke University,139410
60148,Duke University,140445
61241,Emory & Henry College,93764
63744,University of Virginia,135727
63045,School of the Art Institute of Chicago,97135
63912,Western Michigan University,140397
63912,Western Michigan University,143772
63912,Western Michigan University,143842
63912,Western Michigan University,143770
63912,Western Michigan University,143840
63912,Western Michigan University,143768
63912,Western Michigan University,143838
63912,Western Michigan University,143766
63912,Western Michigan University,143773
63912,Western Michigan University,143843
63912,Western Michigan University,143771
63912,Western Michigan University,143841
63912,Western Michigan University,143769
63912,Western Michigan University,143839
63912,Western Michigan University,143767
63912,Western Michigan University,143837
60292,University of North Carolina at Charlotte,138969
61178,East Carolina University,141518
61178,East Carolina University,141525
61178,East Carolina University,143789
61406,Gardner-Webb University,141192
63735,University of the Incarnate Word,142698
63735,University of the Incarnate Word,143559
60548,Bellevue College,129440
59950,Prairie View A&M University,80121
61403,Gallaudet University,80715
64065,Northeast College of Health Sciences,80565
59905,Illinois College,80015
60325,Washington University in St. Louis,139513
60198,University of Missouri Columbia,129013
60198,University of Missouri Columbia,139566
60198,University of Missouri Columbia,139567
60849,Chowan University,142948
60852,Christopher Newport University,126058
63531,University of Chicago,138848
63531,University of Chicago,142602
63531,University of Chicago,142600
63531,University of Chicago,142598
63531,University of Chicago,142596
63531,University of Chicago,142603
63531,University of Chicago,142601
63531,University of Chicago,142599
63531,University of Chicago,142597
63531,University of Chicago,143348
62957,Saint Leo University,141068
62957,Saint Leo University,143833
62957,Saint Leo University,143831
62957,Saint Leo University,143832
60265,Temple University,80191
60265,Temple University,143302
59860,Buffalo State Tour,79888
59912,Kent State University at Kent,80028
59914,La Roche University,80033
59969,Saint Vincent College,80179
59969,Saint Vincent College,142147
60011,Wentworth Institute of Technology,80299
60421,Angelo State University,136921
60499,Austin Peay State University,139756
60547,Bellarmine University,80390
60547,Bellarmine University,142069
60547,Bellarmine University,142081
61419,George Mason University,80651
61839,Jackson State University,85310
62007,Lamar University,82816
62270,MidAmerica Nazarene University,122039
62890,Ringling College of Art and Design,80483
63389,The College of Saint Rose,84198
63389,The College of Saint Rose,84200
63850,Walsh University,115334
63878,Wells College,137211
61421,Georgetown College,141768
62140,Loyola University Chicago,80902
62140,Loyola University Chicago,141527
62399,Mount Saint Mary College,85273
62733,Pennsylvania State University-Abington,80487
61399,Fulton-Montgomery Community College,80399
62147,Lycoming College,80521
63419,The University of Texas of the Permian Basin,136092
63419,The University of Texas of the Permian Basin,136093
106765,Perelman School of Medicine ,125099
63228,Stanbridge University,136758
63228,Stanbridge University,141854
63546,University of Evansville,80742
64055,Penn State Greater Allegheny,80548
64055,Penn State Greater Allegheny,143075
60245,San Diego Miramar College,129757
60439,Aquinas College (MI),80731
63287,SUNY Old Westbury,89376
60934,College of Saint Mary,119534
60021,York Technical College,80317
61483,Green River College,136171
61483,Green River College,143097
61648,Indiana Tech,136067
63473,Triton College,141161
61985,Lafayette College,138954
63980,Winthrop University,128149
62952,University of Saint Joseph,122125
62952,University of Saint Joseph,123541
60099,Bates College,139027
61503,Hamline University,141893
60167,Grossmont-Cuyamaca Community College District,142240
62182,Marist College,80450
62618,Oakwood University,135630
62618,Oakwood University,139830
61589,Hiram College,80779
60978,Columbus College of Art & Design,80653
63709,University of Rhode Island,91401
60721,California College of the Arts,80631
61098,Dean College,135581
61617,Howard University,82343
59847,Belmont Abbey College,79863
61188,Eastern Connecticut State University,80523
61488,Grinnell College,127994
62963,Saint Mary's College,81523
66382,Johnson & Wales University,82674
66382,Johnson & Wales University,83178
66382,Johnson & Wales University,84093
66382,Johnson & Wales University,142067
60195,University of Miami,120640
60470,Arkansas Tech University,142866
60556,Bemidji State University,80510
61412,Gateway Technical College,84490
61646,Indian Hills Community College,142496
61960,Kettering University,80928
62102,Lipscomb University,81259
62880,Rhode Island College,81329
63290,SUNY College at Potsdam,139493
63295,SUNY Delhi,80434
63299,SUNY Maritime College,134689
63393,The College of Wooster,91979
60104,Bowdoin College,94403
60104,Bowdoin College,125728
60104,Bowdoin College,125729
